country;geoid;iso;d;cases;deaths;wage;cash;credit;taxcd;export;rate;school;rest;sport;elect;mass;travel;domestic;testing;state;surveillance;Index_Rigidity;Econ_Measures
Aruba;AW;ABW;25-mars-20;5;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;26-mars-20;2;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;27-mars-20;9;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;28-mars-20;0;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;29-mars-20;0;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;30-mars-20;22;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;01apr2020;5;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;02apr2020;0;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;03apr2020;5;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;04apr2020;2;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;05apr2020;2;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;06apr2020;0;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;07apr2020;7;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;08apr2020;3;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;09apr2020;3;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;10apr2020;5;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;11apr2020;4;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;12apr2020;6;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;13apr2020;0;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Aruba;AW;ABW;14apr2020;0;0;0;0;0;0;0;1;;;;;;;;;;;;.1666667
Afghanistan;AF;AFG;31dec2019;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;01-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;02-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;03-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;04-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;05-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;06-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;07-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;08-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;09-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;10-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;11-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;12-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;13-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;14-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;15-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;16-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;17-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;18-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
Afghanistan;AF;AFG;19-janv-20;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0
